,height,width,xmin,ymin,xmax,ymax,label
7485.png,26.0,13.0,76.0,21.0,89.0,47.0,7.0
7485.png,26.0,16.0,87.0,21.0,103.0,47.0,7.0
7486.png,15.0,7.0,17.0,4.0,24.0,19.0,6.0
7486.png,15.0,6.0,24.0,4.0,30.0,19.0,10.0
7487.png,20.0,9.0,31.0,6.0,40.0,26.0,1.0
7487.png,20.0,11.0,41.0,7.0,52.0,27.0,2.0
7488.png,65.0,40.0,93.0,7.0,133.0,72.0,10.0
7489.png,79.0,43.0,65.0,10.0,108.0,89.0,5.0
7489.png,79.0,46.0,100.0,6.0,146.0,85.0,9.0
7490.png,20.0,13.0,20.0,4.0,33.0,24.0,6.0
7491.png,32.0,14.0,28.0,2.0,42.0,34.0,2.0
7491.png,32.0,13.0,42.0,2.0,55.0,34.0,8.0
7491.png,32.0,15.0,56.0,1.0,71.0,33.0,4.0
7492.png,72.0,36.0,85.0,12.0,121.0,84.0,4.0
7492.png,72.0,34.0,122.0,14.0,156.0,86.0,4.0
7493.png,61.0,30.0,63.0,12.0,93.0,73.0,1.0
7493.png,61.0,46.0,93.0,12.0,139.0,73.0,2.0
7494.png,28.0,17.0,36.0,8.0,53.0,36.0,4.0
7494.png,28.0,14.0,52.0,8.0,66.0,36.0,6.0
7494.png,28.0,13.0,67.0,9.0,80.0,37.0,6.0
7495.png,20.0,8.0,20.0,2.0,28.0,22.0,4.0
7495.png,20.0,10.0,27.0,2.0,37.0,22.0,9.0
7496.png,28.0,18.0,36.0,13.0,54.0,41.0,2.0
7496.png,28.0,18.0,52.0,10.0,70.0,38.0,5.0
7497.png,73.0,22.0,66.0,14.0,88.0,87.0,1.0
7497.png,73.0,49.0,92.0,11.0,141.0,84.0,10.0
7498.png,18.0,6.0,19.0,1.0,25.0,19.0,4.0
7498.png,18.0,5.0,26.0,2.0,31.0,20.0,1.0
7499.png,43.0,16.0,41.0,14.0,57.0,57.0,2.0
7499.png,43.0,15.0,52.0,11.0,67.0,54.0,3.0
7499.png,43.0,17.0,62.0,11.0,79.0,54.0,2.0
7500.png,37.0,23.0,35.0,2.0,58.0,39.0,7.0
7501.png,23.0,10.0,28.0,4.0,38.0,27.0,5.0
7501.png,23.0,10.0,37.0,3.0,47.0,26.0,3.0
7502.png,23.0,17.0,33.0,9.0,50.0,32.0,6.0
7502.png,23.0,14.0,50.0,7.0,64.0,30.0,4.0
7503.png,37.0,23.0,73.0,23.0,96.0,60.0,4.0
7503.png,37.0,27.0,94.0,19.0,121.0,56.0,5.0
7504.png,24.0,12.0,23.0,3.0,35.0,27.0,5.0
7504.png,24.0,11.0,35.0,5.0,46.0,29.0,10.0
7505.png,21.0,8.0,24.0,4.0,32.0,25.0,1.0
7505.png,21.0,9.0,29.0,3.0,38.0,24.0,1.0
7506.png,19.0,10.0,35.0,11.0,45.0,30.0,2.0
7506.png,19.0,11.0,39.0,9.0,50.0,28.0,3.0
7506.png,19.0,11.0,48.0,13.0,59.0,32.0,10.0
7507.png,20.0,10.0,35.0,10.0,45.0,30.0,1.0
7507.png,20.0,9.0,42.0,11.0,51.0,31.0,4.0
7507.png,20.0,12.0,51.0,11.0,63.0,31.0,8.0
7508.png,17.0,6.0,18.0,4.0,24.0,21.0,1.0
7508.png,17.0,8.0,22.0,4.0,30.0,21.0,9.0
7509.png,29.0,19.0,26.0,4.0,45.0,33.0,9.0
7510.png,20.0,7.0,28.0,10.0,35.0,30.0,1.0
7510.png,20.0,10.0,35.0,11.0,45.0,31.0,5.0
7510.png,20.0,13.0,44.0,11.0,57.0,31.0,10.0
7511.png,56.0,25.0,42.0,3.0,67.0,59.0,3.0
7511.png,56.0,31.0,60.0,5.0,91.0,61.0,7.0
7512.png,31.0,11.0,31.0,7.0,42.0,38.0,1.0
7512.png,31.0,17.0,43.0,8.0,60.0,39.0,5.0
7512.png,31.0,17.0,62.0,8.0,79.0,39.0,7.0
7513.png,17.0,7.0,19.0,3.0,26.0,20.0,7.0
7513.png,17.0,6.0,27.0,3.0,33.0,20.0,4.0
7514.png,14.0,7.0,19.0,5.0,26.0,19.0,2.0
7514.png,14.0,5.0,25.0,6.0,30.0,20.0,1.0
7515.png,32.0,11.0,38.0,13.0,49.0,45.0,1.0
7515.png,32.0,8.0,49.0,14.0,57.0,46.0,9.0
7515.png,32.0,10.0,57.0,13.0,67.0,45.0,8.0
7516.png,28.0,19.0,29.0,5.0,48.0,33.0,6.0
7517.png,60.0,14.0,53.0,7.0,67.0,67.0,1.0
7517.png,60.0,19.0,64.0,7.0,83.0,67.0,5.0
7517.png,60.0,24.0,80.0,8.0,104.0,68.0,9.0
7518.png,28.0,14.0,84.0,19.0,98.0,47.0,4.0
7518.png,28.0,13.0,98.0,20.0,111.0,48.0,3.0
7518.png,28.0,14.0,113.0,19.0,127.0,47.0,6.0
7519.png,22.0,11.0,28.0,7.0,39.0,29.0,2.0
7519.png,22.0,11.0,38.0,7.0,49.0,29.0,9.0
7519.png,22.0,10.0,48.0,7.0,58.0,29.0,6.0
7520.png,14.0,3.0,20.0,4.0,23.0,18.0,1.0
7520.png,14.0,7.0,24.0,4.0,31.0,18.0,5.0
7521.png,21.0,14.0,5.0,10.0,19.0,31.0,2.0
7521.png,21.0,12.0,20.0,13.0,32.0,34.0,9.0
7521.png,21.0,7.0,33.0,11.0,40.0,32.0,1.0
7521.png,21.0,14.0,39.0,10.0,53.0,31.0,5.0
7522.png,39.0,16.0,225.0,12.0,241.0,51.0,7.0
7522.png,39.0,17.0,240.0,12.0,257.0,51.0,3.0
7523.png,48.0,13.0,48.0,5.0,61.0,53.0,2.0
7523.png,48.0,15.0,67.0,8.0,82.0,56.0,6.0
7524.png,22.0,6.0,21.0,2.0,27.0,24.0,1.0
7524.png,22.0,8.0,27.0,3.0,35.0,25.0,1.0
7525.png,78.0,23.0,65.0,5.0,88.0,83.0,1.0
7525.png,78.0,37.0,93.0,8.0,130.0,86.0,2.0
7525.png,78.0,39.0,123.0,3.0,162.0,81.0,7.0
7526.png,48.0,11.0,50.0,6.0,61.0,54.0,1.0
7526.png,48.0,14.0,66.0,7.0,80.0,55.0,1.0
7527.png,57.0,35.0,68.0,19.0,103.0,76.0,5.0
7528.png,50.0,26.0,53.0,13.0,79.0,63.0,7.0
7528.png,50.0,33.0,77.0,13.0,110.0,63.0,7.0
7529.png,47.0,23.0,47.0,11.0,70.0,58.0,3.0
7529.png,47.0,23.0,78.0,5.0,101.0,52.0,3.0
7530.png,63.0,20.0,143.0,97.0,163.0,160.0,1.0
7530.png,63.0,36.0,158.0,83.0,194.0,146.0,10.0
7530.png,63.0,22.0,189.0,77.0,211.0,140.0,8.0
7530.png,63.0,51.0,202.0,63.0,253.0,126.0,10.0
7531.png,56.0,36.0,59.0,10.0,95.0,66.0,9.0
7531.png,56.0,39.0,91.0,12.0,130.0,68.0,8.0
7532.png,20.0,8.0,24.0,4.0,32.0,24.0,5.0
7532.png,20.0,10.0,31.0,3.0,41.0,23.0,4.0
7533.png,28.0,11.0,23.0,4.0,34.0,32.0,3.0
7533.png,28.0,10.0,33.0,5.0,43.0,33.0,6.0
7533.png,28.0,9.0,43.0,5.0,52.0,33.0,1.0
7534.png,23.0,10.0,50.0,1.0,60.0,24.0,10.0
7535.png,12.0,3.0,13.0,1.0,16.0,13.0,1.0
7535.png,12.0,5.0,17.0,1.0,22.0,13.0,5.0
7535.png,12.0,5.0,22.0,1.0,27.0,13.0,2.0
7535.png,12.0,6.0,28.0,1.0,34.0,13.0,6.0
7536.png,38.0,13.0,34.0,1.0,47.0,39.0,1.0
7536.png,38.0,16.0,45.0,1.0,61.0,39.0,2.0
7536.png,38.0,15.0,61.0,2.0,76.0,40.0,8.0
7537.png,32.0,17.0,35.0,10.0,52.0,42.0,5.0
7537.png,32.0,14.0,54.0,6.0,68.0,38.0,8.0
7538.png,22.0,11.0,18.0,2.0,29.0,24.0,8.0
7538.png,22.0,10.0,29.0,2.0,39.0,24.0,6.0
7539.png,14.0,7.0,38.0,13.0,45.0,27.0,2.0
7539.png,14.0,7.0,45.0,11.0,52.0,25.0,4.0
7539.png,14.0,7.0,52.0,13.0,59.0,27.0,2.0
7539.png,14.0,5.0,60.0,13.0,65.0,27.0,1.0
7540.png,78.0,40.0,86.0,22.0,126.0,100.0,5.0
7540.png,78.0,53.0,124.0,23.0,177.0,101.0,2.0
7541.png,54.0,15.0,53.0,13.0,68.0,67.0,3.0
7541.png,54.0,11.0,68.0,14.0,79.0,68.0,1.0
7542.png,27.0,11.0,26.0,1.0,37.0,28.0,4.0
7543.png,40.0,25.0,71.0,29.0,96.0,69.0,4.0
7543.png,40.0,27.0,96.0,16.0,123.0,56.0,3.0
7544.png,37.0,29.0,61.0,35.0,90.0,72.0,2.0
7544.png,37.0,28.0,89.0,22.0,117.0,59.0,8.0
7545.png,26.0,15.0,22.0,5.0,37.0,31.0,2.0
7545.png,26.0,10.0,37.0,6.0,47.0,32.0,1.0
7545.png,26.0,7.0,45.0,8.0,52.0,34.0,1.0
7546.png,27.0,5.0,29.0,5.0,34.0,32.0,1.0
7546.png,27.0,6.0,37.0,5.0,43.0,32.0,7.0
7546.png,27.0,6.0,46.0,5.0,52.0,32.0,2.0
7547.png,69.0,26.0,99.0,22.0,125.0,91.0,4.0
7547.png,69.0,35.0,121.0,22.0,156.0,91.0,8.0
7547.png,69.0,31.0,155.0,20.0,186.0,89.0,8.0
7548.png,42.0,15.0,39.0,4.0,54.0,46.0,2.0
7548.png,42.0,15.0,54.0,1.0,69.0,43.0,10.0
7549.png,43.0,24.0,47.0,8.0,71.0,51.0,3.0
7549.png,43.0,25.0,69.0,9.0,94.0,52.0,5.0
7549.png,43.0,25.0,94.0,11.0,119.0,54.0,10.0
7550.png,25.0,15.0,25.0,3.0,40.0,28.0,2.0
7550.png,25.0,12.0,39.0,3.0,51.0,28.0,1.0
7550.png,25.0,17.0,48.0,3.0,65.0,28.0,8.0
7551.png,30.0,20.0,33.0,8.0,53.0,38.0,9.0
7551.png,30.0,17.0,51.0,8.0,68.0,38.0,9.0
7552.png,34.0,15.0,196.0,78.0,211.0,112.0,1.0
7552.png,34.0,18.0,208.0,79.0,226.0,113.0,7.0
7552.png,34.0,20.0,221.0,74.0,241.0,108.0,4.0
7553.png,48.0,18.0,56.0,9.0,74.0,57.0,3.0
7553.png,48.0,19.0,77.0,14.0,96.0,62.0,5.0
7554.png,26.0,7.0,23.0,4.0,30.0,30.0,1.0
7554.png,26.0,9.0,30.0,3.0,39.0,29.0,7.0
7555.png,32.0,11.0,38.0,9.0,49.0,41.0,1.0
7556.png,15.0,6.0,13.0,1.0,19.0,16.0,1.0
7556.png,15.0,6.0,18.0,2.0,24.0,17.0,7.0
7557.png,20.0,9.0,22.0,3.0,31.0,23.0,1.0
7557.png,20.0,12.0,34.0,4.0,46.0,24.0,9.0
7557.png,20.0,13.0,45.0,3.0,58.0,23.0,5.0
7557.png,20.0,13.0,60.0,3.0,73.0,23.0,10.0
7558.png,49.0,24.0,63.0,15.0,87.0,64.0,5.0
7558.png,49.0,26.0,88.0,11.0,114.0,60.0,2.0
7559.png,25.0,7.0,29.0,5.0,36.0,30.0,1.0
7559.png,25.0,11.0,35.0,8.0,46.0,33.0,4.0
7560.png,34.0,12.0,35.0,6.0,47.0,40.0,1.0
7560.png,34.0,12.0,46.0,7.0,58.0,41.0,9.0
7561.png,26.0,14.0,29.0,8.0,43.0,34.0,2.0
7562.png,34.0,18.0,33.0,3.0,51.0,37.0,2.0
7562.png,34.0,19.0,53.0,2.0,72.0,36.0,4.0
7563.png,21.0,16.0,46.0,9.0,62.0,30.0,5.0
7564.png,47.0,22.0,59.0,12.0,81.0,59.0,1.0
7564.png,47.0,25.0,81.0,14.0,106.0,61.0,5.0
7565.png,27.0,10.0,62.0,17.0,72.0,44.0,1.0
7565.png,27.0,7.0,71.0,15.0,78.0,42.0,9.0
7566.png,29.0,16.0,35.0,8.0,51.0,37.0,7.0
7567.png,23.0,7.0,41.0,15.0,48.0,38.0,7.0
7567.png,23.0,9.0,49.0,16.0,58.0,39.0,2.0
7568.png,44.0,28.0,118.0,64.0,146.0,108.0,2.0
7568.png,44.0,39.0,140.0,64.0,179.0,108.0,7.0
7569.png,28.0,21.0,81.0,39.0,102.0,67.0,1.0
7569.png,28.0,11.0,83.0,13.0,94.0,41.0,10.0
7569.png,28.0,21.0,83.0,67.0,104.0,95.0,5.0
7570.png,34.0,16.0,79.0,7.0,95.0,41.0,7.0
7570.png,34.0,24.0,92.0,6.0,116.0,40.0,5.0
7571.png,35.0,16.0,30.0,3.0,46.0,38.0,2.0
7571.png,35.0,17.0,45.0,3.0,62.0,38.0,8.0
7572.png,23.0,8.0,33.0,8.0,41.0,31.0,3.0
7572.png,23.0,10.0,40.0,10.0,50.0,33.0,6.0
7573.png,49.0,22.0,76.0,36.0,98.0,85.0,7.0
7574.png,39.0,24.0,40.0,5.0,64.0,44.0,2.0
7574.png,39.0,23.0,76.0,8.0,99.0,47.0,3.0
7575.png,47.0,25.0,63.0,19.0,88.0,66.0,2.0
7575.png,47.0,27.0,86.0,18.0,113.0,65.0,9.0
7576.png,19.0,12.0,17.0,3.0,29.0,22.0,3.0
7576.png,19.0,14.0,27.0,2.0,41.0,21.0,4.0
7577.png,20.0,10.0,18.0,2.0,28.0,22.0,9.0
7577.png,20.0,10.0,29.0,1.0,39.0,21.0,10.0
7578.png,26.0,17.0,36.0,9.0,53.0,35.0,2.0
7578.png,26.0,17.0,52.0,11.0,69.0,37.0,3.0
7579.png,17.0,10.0,16.0,2.0,26.0,19.0,3.0
7579.png,17.0,9.0,26.0,2.0,35.0,19.0,6.0
7580.png,52.0,15.0,54.0,13.0,69.0,65.0,1.0
7580.png,52.0,25.0,69.0,10.0,94.0,62.0,5.0
7581.png,47.0,22.0,122.0,82.0,144.0,129.0,7.0
7581.png,47.0,20.0,141.0,80.0,161.0,127.0,2.0
7582.png,26.0,10.0,48.0,16.0,58.0,42.0,4.0
7582.png,26.0,11.0,59.0,19.0,70.0,45.0,8.0
7582.png,26.0,9.0,69.0,18.0,78.0,44.0,2.0
7582.png,26.0,14.0,77.0,20.0,91.0,46.0,10.0
7583.png,11.0,5.0,19.0,4.0,24.0,15.0,4.0
7583.png,11.0,5.0,24.0,4.0,29.0,15.0,9.0
7584.png,33.0,24.0,34.0,12.0,58.0,45.0,2.0
7584.png,33.0,10.0,60.0,12.0,70.0,45.0,7.0
7585.png,44.0,19.0,59.0,34.0,78.0,78.0,1.0
7585.png,44.0,27.0,75.0,28.0,102.0,72.0,10.0
7585.png,44.0,24.0,99.0,15.0,123.0,59.0,7.0
7586.png,41.0,22.0,97.0,18.0,119.0,59.0,7.0
7586.png,41.0,24.0,116.0,15.0,140.0,56.0,5.0
7587.png,44.0,27.0,40.0,4.0,67.0,48.0,2.0
7588.png,16.0,7.0,19.0,3.0,26.0,19.0,2.0
7588.png,16.0,8.0,24.0,2.0,32.0,18.0,4.0
7589.png,50.0,18.0,54.0,12.0,72.0,62.0,1.0
7589.png,50.0,37.0,77.0,10.0,114.0,60.0,7.0
7590.png,16.0,6.0,16.0,4.0,22.0,20.0,1.0
7590.png,16.0,6.0,28.0,3.0,34.0,19.0,9.0
7591.png,51.0,16.0,45.0,3.0,61.0,54.0,1.0
7591.png,51.0,18.0,67.0,3.0,85.0,54.0,4.0
7592.png,19.0,9.0,25.0,6.0,34.0,25.0,2.0
7592.png,19.0,10.0,33.0,5.0,43.0,24.0,10.0
7593.png,38.0,15.0,103.0,32.0,118.0,70.0,2.0
7593.png,38.0,14.0,118.0,31.0,132.0,69.0,5.0
7594.png,37.0,21.0,55.0,18.0,76.0,55.0,3.0
7594.png,37.0,16.0,71.0,19.0,87.0,56.0,8.0
7595.png,72.0,26.0,86.0,22.0,112.0,94.0,1.0
7595.png,72.0,25.0,113.0,25.0,138.0,97.0,6.0
7595.png,72.0,32.0,142.0,29.0,174.0,101.0,10.0
7596.png,45.0,25.0,46.0,7.0,71.0,52.0,2.0
7596.png,45.0,25.0,73.0,9.0,98.0,54.0,7.0
7597.png,26.0,15.0,22.0,2.0,37.0,28.0,7.0
7598.png,45.0,19.0,24.0,7.0,43.0,52.0,1.0
7598.png,45.0,25.0,40.0,7.0,65.0,52.0,7.0
7598.png,45.0,17.0,71.0,11.0,88.0,56.0,1.0
7599.png,15.0,8.0,17.0,1.0,25.0,16.0,2.0
7599.png,15.0,8.0,24.0,1.0,32.0,16.0,4.0
7600.png,37.0,11.0,49.0,14.0,60.0,51.0,1.0
7600.png,37.0,20.0,81.0,17.0,101.0,54.0,5.0
7601.png,16.0,5.0,18.0,3.0,23.0,19.0,1.0
7601.png,16.0,10.0,22.0,2.0,32.0,18.0,5.0
7601.png,16.0,9.0,31.0,3.0,40.0,19.0,4.0
7602.png,21.0,13.0,31.0,5.0,44.0,26.0,8.0
7603.png,13.0,8.0,15.0,4.0,23.0,17.0,2.0
7603.png,13.0,10.0,20.0,3.0,30.0,16.0,7.0
7603.png,13.0,6.0,33.0,5.0,39.0,18.0,1.0
7603.png,13.0,9.0,39.0,3.0,48.0,16.0,4.0
7604.png,39.0,14.0,65.0,9.0,79.0,48.0,1.0
7604.png,39.0,22.0,74.0,21.0,96.0,60.0,6.0
7604.png,39.0,21.0,91.0,25.0,112.0,64.0,9.0
7605.png,28.0,13.0,39.0,10.0,52.0,38.0,2.0
7605.png,28.0,12.0,57.0,10.0,69.0,38.0,8.0
7605.png,28.0,13.0,74.0,6.0,87.0,34.0,5.0
7606.png,20.0,9.0,18.0,3.0,27.0,23.0,2.0
7607.png,19.0,9.0,19.0,1.0,28.0,20.0,9.0
7607.png,19.0,9.0,28.0,2.0,37.0,21.0,6.0
7608.png,46.0,18.0,41.0,2.0,59.0,48.0,5.0
7608.png,46.0,17.0,60.0,3.0,77.0,49.0,3.0
7609.png,15.0,6.0,16.0,1.0,22.0,16.0,3.0
7609.png,15.0,8.0,21.0,2.0,29.0,17.0,3.0
7609.png,15.0,7.0,29.0,2.0,36.0,17.0,4.0
7610.png,22.0,15.0,27.0,3.0,42.0,25.0,3.0
7611.png,17.0,12.0,16.0,1.0,28.0,18.0,2.0
7611.png,17.0,8.0,29.0,1.0,37.0,18.0,1.0
7611.png,17.0,11.0,39.0,1.0,50.0,18.0,6.0
7611.png,17.0,12.0,50.0,1.0,62.0,18.0,6.0
7612.png,12.0,6.0,12.0,3.0,18.0,15.0,1.0
7612.png,12.0,7.0,20.0,2.0,27.0,14.0,7.0
7612.png,12.0,7.0,27.0,1.0,34.0,13.0,5.0
7612.png,12.0,8.0,34.0,2.0,42.0,14.0,4.0
7613.png,30.0,12.0,34.0,10.0,46.0,40.0,1.0
7613.png,30.0,18.0,46.0,6.0,64.0,36.0,4.0
7614.png,30.0,15.0,54.0,16.0,69.0,46.0,9.0
7615.png,44.0,19.0,62.0,16.0,81.0,60.0,5.0
7615.png,44.0,19.0,81.0,13.0,100.0,57.0,3.0
7615.png,44.0,14.0,99.0,9.0,113.0,53.0,5.0
7616.png,26.0,13.0,42.0,11.0,55.0,37.0,1.0
7616.png,26.0,13.0,53.0,11.0,66.0,37.0,10.0
7616.png,26.0,13.0,67.0,9.0,80.0,35.0,9.0
7617.png,38.0,27.0,59.0,42.0,86.0,80.0,1.0
7617.png,38.0,31.0,73.0,22.0,104.0,60.0,5.0
7617.png,38.0,36.0,94.0,9.0,130.0,47.0,8.0
7618.png,19.0,7.0,19.0,1.0,26.0,20.0,1.0
7618.png,19.0,11.0,26.0,1.0,37.0,20.0,9.0
7619.png,21.0,12.0,20.0,4.0,32.0,25.0,3.0
7619.png,21.0,11.0,32.0,4.0,43.0,25.0,10.0
7620.png,29.0,19.0,40.0,14.0,59.0,43.0,3.0
7620.png,29.0,22.0,57.0,7.0,79.0,36.0,8.0
7621.png,54.0,26.0,68.0,16.0,94.0,70.0,1.0
7621.png,54.0,29.0,87.0,18.0,116.0,72.0,6.0
7621.png,54.0,31.0,110.0,15.0,141.0,69.0,8.0
7622.png,37.0,17.0,45.0,12.0,62.0,49.0,5.0
7622.png,37.0,20.0,59.0,11.0,79.0,48.0,4.0
7623.png,30.0,9.0,28.0,3.0,37.0,33.0,1.0
7623.png,30.0,7.0,37.0,3.0,44.0,33.0,1.0
7623.png,30.0,12.0,46.0,2.0,58.0,32.0,8.0
7624.png,61.0,45.0,109.0,36.0,154.0,97.0,1.0
7624.png,61.0,39.0,140.0,37.0,179.0,98.0,1.0
7624.png,61.0,40.0,169.0,37.0,209.0,98.0,1.0
7625.png,43.0,27.0,96.0,40.0,123.0,83.0,2.0
7625.png,43.0,31.0,117.0,41.0,148.0,84.0,4.0
7625.png,43.0,31.0,135.0,38.0,166.0,81.0,10.0
7626.png,30.0,16.0,52.0,13.0,68.0,43.0,1.0
7626.png,30.0,19.0,67.0,13.0,86.0,43.0,2.0
7626.png,30.0,15.0,86.0,15.0,101.0,45.0,7.0
7626.png,30.0,25.0,102.0,13.0,127.0,43.0,2.0
7627.png,53.0,44.0,98.0,30.0,142.0,83.0,6.0
7627.png,53.0,32.0,147.0,23.0,179.0,76.0,7.0
7628.png,36.0,14.0,34.0,3.0,48.0,39.0,1.0
7629.png,30.0,14.0,70.0,10.0,84.0,40.0,1.0
7629.png,30.0,11.0,82.0,6.0,93.0,36.0,9.0
7629.png,30.0,16.0,92.0,4.0,108.0,34.0,7.0
7630.png,24.0,12.0,19.0,3.0,31.0,27.0,7.0
7630.png,24.0,10.0,34.0,4.0,44.0,28.0,9.0
7631.png,29.0,24.0,31.0,7.0,55.0,36.0,2.0
7632.png,21.0,8.0,27.0,6.0,35.0,27.0,6.0
7632.png,21.0,8.0,35.0,6.0,43.0,27.0,1.0
7633.png,29.0,15.0,33.0,6.0,48.0,35.0,1.0
7634.png,40.0,18.0,37.0,1.0,55.0,41.0,5.0
7634.png,40.0,21.0,54.0,1.0,75.0,41.0,10.0
7635.png,86.0,37.0,76.0,11.0,113.0,97.0,8.0
7636.png,31.0,14.0,40.0,10.0,54.0,41.0,9.0
7636.png,31.0,17.0,53.0,11.0,70.0,42.0,4.0
7637.png,35.0,18.0,40.0,12.0,58.0,47.0,2.0
7637.png,35.0,16.0,56.0,12.0,72.0,47.0,8.0
7638.png,38.0,18.0,81.0,26.0,99.0,64.0,1.0
7638.png,38.0,17.0,98.0,21.0,115.0,59.0,5.0
7638.png,38.0,18.0,111.0,24.0,129.0,62.0,7.0
7639.png,29.0,10.0,33.0,7.0,43.0,36.0,5.0
7639.png,29.0,11.0,42.0,4.0,53.0,33.0,7.0
7640.png,30.0,18.0,26.0,1.0,44.0,31.0,4.0
7640.png,30.0,16.0,46.0,3.0,62.0,33.0,6.0
7641.png,30.0,15.0,34.0,1.0,49.0,31.0,5.0
7641.png,30.0,14.0,53.0,6.0,67.0,36.0,10.0
7642.png,20.0,10.0,15.0,1.0,25.0,21.0,1.0
7643.png,18.0,9.0,25.0,3.0,34.0,21.0,2.0
7643.png,18.0,9.0,37.0,3.0,46.0,21.0,4.0
7644.png,32.0,16.0,34.0,9.0,50.0,41.0,1.0
7645.png,44.0,45.0,121.0,80.0,166.0,124.0,2.0
7645.png,44.0,50.0,143.0,56.0,193.0,100.0,9.0
7645.png,44.0,54.0,168.0,28.0,222.0,72.0,5.0
7646.png,23.0,12.0,26.0,5.0,38.0,28.0,3.0
7646.png,23.0,13.0,39.0,4.0,52.0,27.0,4.0
7647.png,12.0,4.0,12.0,1.0,16.0,13.0,1.0
7647.png,12.0,5.0,16.0,1.0,21.0,13.0,3.0
7648.png,34.0,18.0,30.0,4.0,48.0,38.0,6.0
7648.png,34.0,18.0,48.0,3.0,66.0,37.0,10.0
7649.png,22.0,9.0,26.0,8.0,35.0,30.0,1.0
7649.png,22.0,5.0,34.0,8.0,39.0,30.0,1.0
7649.png,22.0,13.0,40.0,9.0,53.0,31.0,2.0
7650.png,62.0,26.0,78.0,19.0,104.0,81.0,3.0
7651.png,35.0,14.0,31.0,4.0,45.0,39.0,6.0
7652.png,54.0,27.0,79.0,26.0,106.0,80.0,4.0
7652.png,54.0,22.0,110.0,22.0,132.0,76.0,2.0
7653.png,32.0,11.0,72.0,16.0,83.0,48.0,9.0
7653.png,32.0,14.0,84.0,14.0,98.0,46.0,10.0
7654.png,26.0,12.0,44.0,15.0,56.0,41.0,5.0
7654.png,26.0,13.0,53.0,19.0,66.0,45.0,10.0
7655.png,25.0,15.0,170.0,29.0,185.0,54.0,2.0
7655.png,25.0,15.0,184.0,27.0,199.0,52.0,6.0
7656.png,27.0,13.0,63.0,20.0,76.0,47.0,4.0
7656.png,27.0,10.0,73.0,22.0,83.0,49.0,1.0
7656.png,27.0,15.0,79.0,21.0,94.0,48.0,2.0
7657.png,83.0,35.0,82.0,13.0,117.0,96.0,5.0
7658.png,13.0,8.0,33.0,11.0,41.0,24.0,9.0
7658.png,13.0,6.0,41.0,11.0,47.0,24.0,8.0
7659.png,34.0,22.0,69.0,20.0,91.0,54.0,2.0
7659.png,34.0,20.0,90.0,21.0,110.0,55.0,9.0
7660.png,48.0,25.0,59.0,13.0,84.0,61.0,8.0
7661.png,35.0,15.0,54.0,11.0,69.0,46.0,6.0
7662.png,26.0,13.0,34.0,9.0,47.0,35.0,3.0
7662.png,26.0,13.0,46.0,7.0,59.0,33.0,7.0
7663.png,12.0,5.0,12.0,1.0,17.0,13.0,1.0
7663.png,12.0,8.0,18.0,1.0,26.0,13.0,2.0
7663.png,12.0,6.0,28.0,1.0,34.0,13.0,6.0
7663.png,12.0,8.0,34.0,1.0,42.0,13.0,3.0
7664.png,25.0,9.0,31.0,5.0,40.0,30.0,1.0
7665.png,40.0,11.0,56.0,17.0,67.0,57.0,2.0
7665.png,40.0,8.0,67.0,16.0,75.0,56.0,4.0
7666.png,25.0,10.0,56.0,36.0,66.0,61.0,1.0
7666.png,25.0,12.0,71.0,33.0,83.0,58.0,6.0
7666.png,25.0,11.0,88.0,24.0,99.0,49.0,2.0
7667.png,23.0,9.0,20.0,3.0,29.0,26.0,1.0
7667.png,23.0,7.0,28.0,2.0,35.0,25.0,2.0
7667.png,23.0,8.0,33.0,2.0,41.0,25.0,2.0
7668.png,39.0,16.0,42.0,8.0,58.0,47.0,7.0
7668.png,39.0,17.0,55.0,5.0,72.0,44.0,3.0
7669.png,30.0,14.0,30.0,4.0,44.0,34.0,7.0
7669.png,30.0,14.0,44.0,5.0,58.0,35.0,2.0
7670.png,22.0,10.0,24.0,7.0,34.0,29.0,1.0
7670.png,22.0,12.0,33.0,7.0,45.0,29.0,2.0
7671.png,63.0,32.0,71.0,13.0,103.0,76.0,1.0
7671.png,63.0,34.0,89.0,16.0,123.0,79.0,6.0
7671.png,63.0,25.0,119.0,6.0,144.0,69.0,5.0
7672.png,38.0,23.0,52.0,14.0,75.0,52.0,1.0
7672.png,38.0,27.0,87.0,13.0,114.0,51.0,6.0
7673.png,23.0,5.0,32.0,7.0,37.0,30.0,1.0
7673.png,23.0,13.0,37.0,8.0,50.0,31.0,5.0
7674.png,21.0,9.0,22.0,6.0,31.0,27.0,1.0
7674.png,21.0,8.0,31.0,5.0,39.0,26.0,10.0
7675.png,28.0,16.0,25.0,3.0,41.0,31.0,3.0
7675.png,28.0,15.0,40.0,4.0,55.0,32.0,9.0
7676.png,27.0,13.0,39.0,11.0,52.0,38.0,10.0
7677.png,22.0,13.0,30.0,6.0,43.0,28.0,3.0
7677.png,22.0,11.0,44.0,6.0,55.0,28.0,7.0
7678.png,76.0,29.0,111.0,31.0,140.0,107.0,6.0
7678.png,76.0,37.0,147.0,27.0,184.0,103.0,5.0
7678.png,76.0,31.0,188.0,23.0,219.0,99.0,1.0
7679.png,18.0,11.0,19.0,3.0,30.0,21.0,3.0
